HD1_l1,HD1_l2,HD1_l3,HD1_l4,HD1_l5,HD1_l6,HD1_l7,HD1_l8,HD1_l9,HD1_l10,A_ion_K,A_ion_Rb,A_ion_Cs,A_ion_MA,A_ion_FA,B_ion_Ca,B_ion_Sr,B_ion_Ba,B_ion_Ge,B_ion_Sn,B_ion_Pb,X_ion_Cl,X_ion_Br,X_ion_I,Pred_Bandgap,Pred_Binding_Energy,Pred_Solvent,True_Solvent
-1.3885984,-11.861599,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018778065,0.00022717235,0.009044867,0.00018883841,0.99035126,0.0026618307,0.0015886986,0.002162055,0.0014398574,0.021973865,0.9701736,0.0025928165,0.99609405,0.0013131755,1.9694195,6.952436,NITRO,THTO
-1.3885984,-11.861599,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018778065,0.00022717235,0.009044867,0.00018883841,0.99035126,0.0026618307,0.0015886986,0.002162055,0.0014398574,0.021973865,0.9701736,0.0025928165,0.99609405,0.0013131755,1.9694195,6.7267914,NITRO,DMSO
-1.3885984,-11.861599,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018778065,0.00022717235,0.009044867,0.00018883841,0.99035126,0.0026618307,0.0015886986,0.002162055,0.0014398574,0.021973865,0.9701736,0.0025928165,0.99609405,0.0013131755,1.9694195,6.7211986,NITRO,DMF
-1.3885984,-11.861599,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018778065,0.00022717235,0.009044867,0.00018883841,0.99035126,0.0026618307,0.0015886986,0.002162055,0.0014398574,0.021973865,0.9701736,0.0025928165,0.99609405,0.0013131755,1.9694195,6.9556317,NITRO,NMP
-1.3885984,-11.861599,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018778065,0.00022717235,0.009044867,0.00018883841,0.99035126,0.0026618307,0.0015886986,0.002162055,0.0014398574,0.021973865,0.9701736,0.0025928165,0.99609405,0.0013131755,1.9694195,6.7159953,NITRO,ACETONE
-1.3885984,-11.861599,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018778065,0.00022717235,0.009044867,0.00018883841,0.99035126,0.0026618307,0.0015886986,0.002162055,0.0014398574,0.021973865,0.9701736,0.0025928165,0.99609405,0.0013131755,1.9694195,6.7605505,NITRO,METHA
-1.3885984,-11.861599,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018778065,0.00022717235,0.009044867,0.00018883841,0.99035126,0.0026618307,0.0015886986,0.002162055,0.0014398574,0.021973865,0.9701736,0.0025928165,0.99609405,0.0013131755,1.9694195,6.6849656,NITRO,GBL
-1.3885984,-11.861599,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018778065,0.00022717235,0.009044867,0.00018883841,0.99035126,0.0026618307,0.0015886986,0.002162055,0.0014398574,0.021973865,0.9701736,0.0025928165,0.99609405,0.0013131755,1.9694195,6.491281,NITRO,NITRO
0.30357155,-1.9390285,-1.088209,1.8124769,1.0484934,0.48418522,1.9994824,-1.8195804,1.2716664,2.2053747,0.0001877859,0.00022715727,0.009045409,0.0001888437,0.99035066,0.00267703,0.0015932001,0.0021740315,0.0014554849,0.022027176,0.9700731,0.0028663112,0.99580956,0.0013240462,1.9711797,15.914877,DMF,THTO
0.30357155,-1.9390285,-1.088209,1.8124769,1.0484934,0.48418522,1.9994824,-1.8195804,1.2716664,2.2053747,0.0001877859,0.00022715727,0.009045409,0.0001888437,0.99035066,0.00267703,0.0015932001,0.0021740315,0.0014554849,0.022027176,0.9700731,0.0028663112,0.99580956,0.0013240462,1.9711797,17.271402,DMF,DMSO
