HD1_l1,HD1_l2,HD1_l3,HD1_l4,HD1_l5,HD1_l6,HD1_l7,HD1_l8,HD1_l9,HD1_l10,A_ion_K,A_ion_Rb,A_ion_Cs,A_ion_MA,A_ion_FA,B_ion_Ca,B_ion_Sr,B_ion_Ba,B_ion_Ge,B_ion_Sn,B_ion_Pb,X_ion_Cl,X_ion_Br,X_ion_I,Pred_Bandgap,Pred_Binding_Energy,Pred_Solvent,True_Solvent
-11.861599,-1.29991,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018862671,0.00022422333,0.009137037,0.00018968924,0.9902604,0.6207967,0.0001723299,0.0015140336,0.00047130015,0.010691705,0.3663539,0.60978734,0.38814005,0.0020726065,3.0044742,14.375919,GBL,THTO
-11.861599,-1.29991,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018862671,0.00022422333,0.009137037,0.00018968924,0.9902604,0.6207967,0.0001723299,0.0015140336,0.00047130015,0.010691705,0.3663539,0.60978734,0.38814005,0.0020726065,3.0044742,14.181336,NITRO,DMSO
-11.861599,-1.29991,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018862671,0.00022422333,0.009137037,0.00018968924,0.9902604,0.6207967,0.0001723299,0.0015140336,0.00047130015,0.010691705,0.3663539,0.60978734,0.38814005,0.0020726065,3.0044742,13.495061,NITRO,DMF
-11.861599,-1.29991,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018862671,0.00022422333,0.009137037,0.00018968924,0.9902604,0.6207967,0.0001723299,0.0015140336,0.00047130015,0.010691705,0.3663539,0.60978734,0.38814005,0.0020726065,3.0044742,14.186462,GBL,NMP
-11.861599,-1.29991,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018862671,0.00022422333,0.009137037,0.00018968924,0.9902604,0.6207967,0.0001723299,0.0015140336,0.00047130015,0.010691705,0.3663539,0.60978734,0.38814005,0.0020726065,3.0044742,13.449698,NITRO,ACETONE
-11.861599,-1.29991,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018862671,0.00022422333,0.009137037,0.00018968924,0.9902604,0.6207967,0.0001723299,0.0015140336,0.00047130015,0.010691705,0.3663539,0.60978734,0.38814005,0.0020726065,3.0044742,13.58708,GBL,METHA
-11.861599,-1.29991,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018862671,0.00022422333,0.009137037,0.00018968924,0.9902604,0.6207967,0.0001723299,0.0015140336,0.00047130015,0.010691705,0.3663539,0.60978734,0.38814005,0.0020726065,3.0044742,13.327926,NITRO,GBL
-11.861599,-1.29991,-7.8279476,5.5926523,2.0579307,-0.5529534,6.4578705,-11.211783,3.090485,7.4104714,0.00018862671,0.00022422333,0.009137037,0.00018968924,0.9902604,0.6207967,0.0001723299,0.0015140336,0.00047130015,0.010691705,0.3663539,0.60978734,0.38814005,0.0020726065,3.0044742,12.958945,NITRO,NITRO
0.30357155,0.3227404,0.056080054,1.8124769,1.0484934,0.48418522,1.9994824,-1.8195804,1.2716664,2.2053747,0.00018834921,0.00022618464,0.009033527,0.00018940817,0.9903626,0.007923044,0.00302941,0.009454901,0.009715227,0.009587163,0.96029025,0.6169799,0.3815655,0.0014545785,3.0094187,19.474144,DMF,THTO
0.30357155,0.3227404,0.056080054,1.8124769,1.0484934,0.48418522,1.9994824,-1.8195804,1.2716664,2.2053747,0.00018834921,0.00022618464,0.009033527,0.00018940817,0.9903626,0.007923044,0.00302941,0.009454901,0.009715227,0.009587163,0.96029025,0.6169799,0.3815655,0.0014545785,3.0094187,19.292837,DMSO,DMSO
0.30357155,0.3227404,0.056080054,1.8124769,1.0484934,0.48418522,1.9994824,-1.8195804,1.2716664,2.2053747,0.00018834921,0.00022618464,0.009033527,0.00018940817,0.9903626,0.007923044,0.00302941,0.009454901,0.009715227,0.009587163,0.96029025,0.6169799,0.3815655,0.0014545785,3.0094187,8.101402,NITRO,DMF
0.30357155,0.3227404,0.056080054,1.8124769,1.0484934,0.48418522,1.9994824,-1.8195804,1.2716664,2.2053747,0.00018834921,0.00022618464,0.009033527,0.00018940817,0.9903626,0.007923044,0.00302941,0.009454901,0.009715227,0.009587163,0.96029025,0.6169799,0.3815655,0.0014545785,3.0094187,11.4208765,METHA,NMP
0.30357155,0.3227404,0.056080054,1.8124769,1.0484934,0.48418522,1.9994824,-1.8195804,1.2716664,2.2053747,0.00018834921,0.00022618464,0.009033527,0.00018940817,0.9903626,0.007923044,0.00302941,0.009454901,0.009715227,0.009587163,0.96029025,0.6169799,0.3815655,0.0014545785,3.0094187,7.239056,NITRO,ACETONE
0.30357155,0.3227404,0.056080054,1.8124769,1.0484934,0.48418522,1.9994824,-1.8195804,1.2716664,2.2053747,0.00018834921,0.00022618464,0.009033527,0.00018940817,0.9903626,0.007923044,0.00302941,0.009454901,0.009715227,0.009587163,0.96029025,0.6169799,0.3815655,0.0014545785,3.0094187,7.675005,GBL,METHA
0.30357155,0.3227404,0.056080054,1.8124769,1.0484934,0.48418522,1.9994824,-1.8195804,1.2716664,2.2053747,0.00018834921,0.00022618464,0.009033527,0.00018940817,0.9903626,0.007923044,0.00302941,0.009454901,0.009715227,0.009587163,0.96029025,0.6169799,0.3815655,0.0014545785,3.0094187,6.6529956,NITRO,GBL
0.30357155,0.3227404,0.056080054,1.8124769,1.0484934,0.48418522,1.9994824,-1.8195804,1.2716664,2.2053747,0.00018834921,0.00022618464,0.009033527,0.00018940817,0.9903626,0.007923044,0.00302941,0.009454901,0.009715227,0.009587163,0.96029025,0.6169799,0.3815655,0.0014545785,3.0094187,5.8134522,NITRO,NITRO
4.9446054,5.0091085,4.182458,10.02212,7.451291,5.552376,10.6514,-2.1998696,8.202275,11.3442335,0.00018834909,0.00022619637,0.009032234,0.00018940806,0.9903639,0.007990363,0.0030476474,0.009606059,0.009845345,0.0093949195,0.9601155,0.61711806,0.38143733,0.0014445983,3.022308,8.26441,NITRO,THTO
4.9446054,5.0091085,4.182458,10.02212,7.451291,5.552376,10.6514,-2.1998696,8.202275,11.3442335,0.00018834909,0.00022619637,0.009032234,0.00018940806,0.9903639,0.007990363,0.0030476474,0.009606059,0.009845345,0.0093949195,0.9601155,0.61711806,0.38143733,0.0014445983,3.022308,7.816661,NITRO,DMSO
