UMAP1,UMAP2,Predicted Binding Energy
4.7353444,6.0893927,55.45
4.428005,5.909516,17.27
3.7805421,5.6443553,40.93
3.5715902,5.212571,14.51
6.4159837,4.072503,39.08
6.1979795,4.2698927,7.09
5.8771105,3.563227,26.08
5.5573483,3.3207967,8.28
5.075246,5.2939496,67.98
4.845081,5.068015,30.2
4.0413046,4.3723674,53.62
3.6375086,4.5637465,23.58
5.5313516,4.6433625,51.61
5.3898373,4.506789,16.69
5.003584,3.310462,37.75
4.7954626,3.5909,15.04
5.051756,6.386293,52.77
5.320675,6.138893,13.02
3.2665403,5.5800257,38.29
2.8933864,4.916832,7.6
6.892363,4.5205097,36.56
6.869743,4.6830597,5.67
6.2424893,2.9315996,22.04
5.9419785,2.8229105,5.53
5.5958943,5.836027,65.09
5.656235,5.893558,24.71
3.8431756,3.6581397,50.57
3.2451212,3.718063,15.66
6.092371,5.1789975,49.32
6.446782,5.028841,13.4
4.637312,2.7363255,34.2
4.351683,2.8879,8.47
4.126866,6.57279,55.44
4.346856,6.3121047,16.51
3.4070623,5.958022,40.96
3.2169242,5.3031745,11.35
6.7755575,3.80058,38.56
6.53639,3.9562092,6.16
6.1011033,3.2019293,24.43
5.6549945,2.9473839,6.33
4.6790633,5.4299226,66.93
4.6065927,5.1604424,29.1
3.6609695,4.119592,52.45
3.2982655,4.3900323,20.56
5.918133,4.4691443,50.04
5.4632764,4.3250527,12.99
4.838921,3.076945,35.56
4.6049128,3.6437347,10.32
5.2988806,6.8232694,53.33
5.760365,6.7418036,17.35
2.8545907,5.73328,38.78
2.6924324,5.100089,11.48
7.2727203,4.40635,38.33
7.358201,4.802569,8.19
6.3645153,2.5697088,23.84
5.958202,2.4092531,6.22
5.895394,6.3019385,64.54
6.2646317,6.460579,26.52
3.5096369,3.8260376,50.34
2.9801939,3.8933704,17.49
6.677791,5.420048,47.66
6.932985,5.3258123,15.81
4.839212,2.5346649,33.18
4.2047257,2.5418563,10.14
